Subject_ID,acc
1,0.29910714285714285
2,0.3080357142857143
3,0.19196428571428573
6,0.4017857142857143
7,0.2767857142857143
9,0.19642857142857142
12,0.36607142857142855
13,0.32589285714285715
14,0.28125
15,0.17857142857142858
16,0.32142857142857145
17,0.24107142857142858
18,0.3705357142857143
19,0.3125
20,0.19196428571428573
21,0.3705357142857143
23,0.3392857142857143
27,0.3794642857142857
29,0.29464285714285715
33,0.5982142857142857
34,0.28125
35,0.23660714285714285
36,0.38392857142857145
37,0.1875
38,0.2767857142857143
39,0.22321428571428573
