Subject_ID,acc
1,0.5178571428571429
2,0.5535714285714286
3,0.47767857142857145
6,0.6964285714285714
7,0.59375
9,0.5
12,0.6651785714285714
13,0.6428571428571429
14,0.6383928571428571
15,0.6205357142857143
16,0.5133928571428571
17,0.5491071428571429
18,0.6071428571428571
19,0.5625
20,0.6026785714285714
21,0.5491071428571429
23,0.48660714285714285
27,0.6026785714285714
29,0.4955357142857143
33,0.6517857142857143
34,0.6964285714285714
35,0.48214285714285715
36,0.5758928571428571
37,0.47767857142857145
38,0.4642857142857143
39,0.6205357142857143
