Subject_ID,acc
2,0.4076704680919647
3,0.549107164144516
4,0.5048076957464218
5,0.2946428656578064
6,0.3636363744735718
7,0.609375
8,0.5277777910232544
9,0.4642857313156128
10,0.26278409361839294
11,0.3499999940395355
12,0.2517361119389534
13,0.4243421107530594
14,0.15625
15,0.34375
16,0.6186342537403107
17,0.5281250029802322
18,0.5357142984867096
19,0.3229166716337204
20,0.19176136702299118
21,0.28125
22,0.47187498211860657
23,0.5250000059604645
24,0.5625
25,0.24375000596046448
26,0.49687500298023224
27,0.6333333849906921
28,0.532608687877655
29,0.24062500149011612
30,0.520380437374115
31,0.10249999910593033
32,0.5625
33,0.09375
34,1.0
35,0.1875
36,0.5303308963775635
37,0.5384615659713745
38,0.5600000023841858
39,0.29008152335882187
40,0.4880952388048172
41,0.5745192468166351
