Subject_ID,acc
1,0.3203125
2,0.296875
3,0.4322916716337204
4,0.2109375
5,0.3125
6,0.4322916716337204
7,0.453125
8,0.3802083358168602
9,0.2526041716337204
10,0.3020833358168602
11,0.4375
12,0.3098958358168602
13,0.2005208358168602
14,0.2734375
15,0.3854166716337204
16,0.2994791716337204
17,0.3697916716337204
18,0.375
19,0.3229166679084301
20,0.4140625
21,0.5130208358168602
22,0.3541666716337204
23,0.4296875
24,0.4375
25,0.5052083432674408
26,0.4427083358168602
27,0.6223958432674408
28,0.5052083358168602
29,0.5130208358168602
30,0.59375
31,0.734375
32,0.7604166716337204
