Subject_ID,acc
1,0.3541666716337204
2,0.4557291716337204
3,0.4557291716337204
4,0.4401041716337204
5,0.3046875
6,0.2760416716337204
7,0.3359375
8,0.25
9,0.3567708358168602
10,0.1901041679084301
11,0.2734375
12,0.3984375
13,0.3802083358168602
14,0.3098958358168602
15,0.375
16,0.3255208358168602
17,0.3020833358168602
18,0.4296875
19,0.3411458358168602
20,0.4036458358168602
21,0.4479166716337204
22,0.2890625
23,0.2578125
24,0.2890625
25,0.4010416716337204
26,0.3828125
27,0.4114583358168602
28,0.3671875
29,0.28125
30,0.2395833358168602
31,0.2708333358168602
32,0.3229166716337204
