Subject_ID,acc
1,1.314375638961792
2,1.4200730721155803
3,1.3245615031984117
4,1.3584354321161907
5,1.3956893682479858
6,1.4251583417256672
7,1.2267541488011677
8,1.3116384612189398
9,1.3595297469033136
