Subject_ID,acc
2,0.6619318181818181
3,0.6517857142857143
4,0.5048076923076923
5,0.4486607142857143
6,0.6363636363636364
7,0.15401785714285715
8,0.6215277777777778
9,0.10267857142857142
10,0.26278409090909094
11,0.75
12,0.6331018518518519
13,0.3873355263157895
14,0.546875
15,0.265625
16,0.6186342592592593
17,0.55625
18,0.35416666666666663
19,0.4097222222222222
20,0.19176136363636365
21,0.0625
22,0.41625
23,0.240625
24,0.5625
25,0.30625
26,0.496875
27,0.6333333333333333
28,0.5326086956521738
29,0.434375
30,0.5421195652173914
31,0.494375
32,0.17708333333333334
33,0.09375
34,0.9043749999999999
35,0.3861607142857143
36,0.4540441176470588
37,0.46153846153846156
38,0.32
39,0.5855978260869565
40,0.5513392857142857
41,0.7908653846153846
