Subject_ID,acc
1,0.3046875
2,0.3177083358168602
3,0.21875
4,0.2760416716337204
5,0.2265625
6,0.3046875
7,0.2265625
8,0.2838541716337204
9,0.2708333358168602
10,0.3151041716337204
11,0.2838541716337204
12,0.2421875
13,0.2552083358168602
14,0.2369791716337204
15,0.2421875
16,0.109375
17,0.2708333358168602
18,0.28125
19,0.1927083358168602
20,0.2760416679084301
21,0.3567708358168602
22,0.2265625
23,0.171875
24,0.421875
25,0.3854166716337204
26,0.3125
27,0.5520833432674408
28,0.3151041716337204
29,0.2838541716337204
30,0.203125
31,0.3151041716337204
32,0.4661458358168602
