Subject_ID,acc
1,0.4479166716337204
2,0.5208333432674408
3,0.625
4,0.6145833432674408
5,0.4140625
6,0.5807291716337204
7,0.5729166716337204
8,0.453125
9,0.4869791716337204
10,0.4583333358168602
11,0.3697916716337204
12,0.5963541716337204
13,0.6979166716337204
14,0.4947916716337204
15,0.546875
16,0.40625
17,0.3697916716337204
18,0.4791666716337204
19,0.40625
20,0.5807291716337204
21,0.5260416716337204
22,0.3645833358168602
23,0.4453125
24,0.4609375
25,0.3880208358168602
26,0.4765625
27,0.5703125
28,0.4166666716337204
29,0.375
30,0.46875
31,0.3932291716337204
32,0.484375
