Subject_ID,acc
2,1.0
3,1.0
4,1.0
5,0.9486607142857143
6,1.0
7,0.9486607142857143
8,0.8663194444444444
9,0.4330357142857143
10,0.4602272727272727
11,0.95
12,0.7824074074074074
13,0.9004934210526316
14,0.90625
15,0.953125
16,0.7054398148148149
17,1.0
18,0.8266369047619048
19,1.0
20,0.8082386363636364
21,0.9486607142857143
22,0.861875
23,1.0
24,0.515625
25,0.95
26,0.921875
27,0.9333333333333333
28,0.7758152173913043
29,1.0
30,0.6976902173913043
31,1.0
32,0.9583333333333334
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,0.96
39,0.9626358695652174
40,1.0
41,0.7908653846153846
