Subject_ID,acc
2,0.8238636553287506
3,1.0
4,0.5048076957464218
5,0.4486607313156128
6,1.0
7,0.845982164144516
8,0.8350694477558136
9,0.4642857313156128
10,0.6619318127632141
11,0.75
12,0.7141203880310059
13,0.8009868562221527
14,0.546875
15,1.0
16,0.6186342537403107
17,0.8656249940395355
18,0.8430059552192688
19,0.5677083432674408
20,0.9460227489471436
21,0.845982164144516
22,0.5456250011920929
23,0.6343750059604645
24,0.5625
25,0.9500000178813934
26,0.921875
27,0.6333333849906921
28,0.5822010934352875
29,0.643750011920929
30,0.953125
31,1.0
32,0.75
33,1.0
34,1.0
35,1.0
36,0.8630514740943909
37,0.9230769872665405
38,0.5600000023841858
39,1.0
40,0.8110119104385376
41,0.7836538553237915
