Subject_ID,acc
1,0.5494791716337204
2,0.5390625
3,0.703125
4,0.78125
5,0.6953125
6,0.7057291716337204
7,0.703125
8,0.65625
9,0.6588541716337204
10,0.7265625
11,0.4765625
12,0.8203125
13,0.7369791716337204
14,0.6171875
15,0.7369791716337204
16,0.546875
17,0.59375
18,0.7578125
19,0.6302083432674408
20,0.7447916716337204
21,0.7447916716337204
22,0.5807291716337204
23,0.6822916716337204
24,0.5703125
25,0.6302083432674408
26,0.7005208432674408
27,0.6875
28,0.5989583432674408
29,0.5208333432674408
30,0.6223958432674408
31,0.6901041716337204
32,0.6927083432674408
