Subject_ID,acc
2,1.0
3,0.6753472288449606
4,0.5104166666666666
5,0.8041666746139526
6,0.41280241310596466
7,0.6366071462631225
8,0.7062499970197678
9,0.3125
10,0.3771306835114956
11,0.6949728429317474
12,0.140625
13,0.2824999988079071
14,0.890625
15,0.5825000047683716
16,0.6284722288449606
17,0.5625
18,0.4576923131942749
19,0.7358333468437195
20,0.3558333396911621
21,0.31875
22,0.4270833333333333
23,0.4140625
24,0.4505208358168602
25,0.4524456560611725
26,0.5755208432674408
27,0.7060185273488363
28,0.5260416666666666
29,0.4227430559694767
30,0.5357142925262451
31,0.6822916666666666
32,0.375
33,0.2653125002980232
34,0.796875
35,0.3655427619814873
36,0.8354166746139526
37,0.46562500298023224
38,0.3888888905445735
39,0.5612500071525574
40,0.5533653855323791
41,0.7125
