Subject_ID,acc
1,0.359375
2,0.2838541679084301
3,0.3463541716337204
4,0.3203125
5,0.2473958358168602
6,0.3567708358168602
7,0.3802083358168602
8,0.3645833358168602
9,0.2369791679084301
10,0.296875
11,0.4296875
12,0.5
13,0.2734375
14,0.265625
15,0.3255208358168602
16,0.3255208358168602
17,0.2942708358168602
18,0.4739583358168602
19,0.4348958358168602
20,0.4921875
21,0.5598958432674408
22,0.3411458358168602
23,0.3776041716337204
24,0.375
25,0.4895833358168602
26,0.578125
27,0.6171875
28,0.5416666716337204
29,0.5755208432674408
30,0.5598958432674408
31,0.7526041716337204
32,0.8203125
