Subject_ID,acc
1,0.7946428571428571
2,0.84375
3,0.8035714285714286
6,0.7767857142857143
7,0.7723214285714286
9,0.6741071428571429
12,0.7857142857142857
13,0.7544642857142857
14,0.8080357142857143
15,0.8258928571428571
16,0.7321428571428571
17,0.78125
18,0.8660714285714286
19,0.8303571428571429
20,0.7991071428571429
21,0.7366071428571429
23,0.625
27,0.8169642857142857
29,0.78125
33,0.6875
34,0.7410714285714286
35,0.75
36,0.7276785714285714
37,0.8392857142857143
38,0.7633928571428571
39,0.7857142857142857
