Subject_ID,acc
2,1.0
3,1.0
4,0.5048076957464218
5,0.4486607313156128
6,0.4545454680919647
7,0.4776785969734192
8,0.6215277910232544
9,0.4642857313156128
10,0.6619318127632141
11,0.949999988079071
12,0.7482638955116272
13,0.4555921107530594
14,0.484375
15,0.40625
16,0.6186342537403107
17,0.5562500059604645
18,0.5193452388048172
19,0.4097222238779068
20,0.19176136702299118
21,0.109375
22,0.41624999046325684
23,0.4125000014901161
24,0.78125
25,0.35625000298023224
26,0.49687500298023224
27,0.6333333849906921
28,0.532608687877655
29,0.43437500298023224
30,0.595108687877655
31,0.3918749988079071
32,0.7291666666666666
33,0.46875
34,1.0
35,0.6785714626312256
36,0.8630514740943909
37,0.9230769872665405
38,0.5600000023841858
39,0.379755437374115
40,0.5513392984867096
41,0.5745192468166351
