Subject_ID,acc
1,0.3072916666666667
2,0.234375
3,0.4427083333333333
4,0.2604166666666667
5,0.3541666666666667
6,0.4296875
7,0.3932291666666667
8,0.39322916666666663
9,0.3151041666666667
10,0.3567708333333333
11,0.3072916666666667
12,0.4921875
13,0.4140625
14,0.3802083333333333
15,0.375
16,0.3567708333333333
17,0.34375
18,0.3984375
19,0.4322916666666667
20,0.47135416666666663
21,0.5494791666666666
22,0.4739583333333333
23,0.45052083333333337
24,0.39322916666666663
25,0.5208333333333334
26,0.48958333333333337
27,0.4895833333333333
28,0.49739583333333337
29,0.515625
30,0.515625
31,0.640625
32,0.796875
