Subject_ID,acc
1,0.8254291670663017
2,0.8858715891838074
3,0.9414134706769671
6,0.8444251332964215
7,0.8705908570970807
9,0.8771892189979553
12,0.9398830618177142
13,0.8342218739645821
14,0.828486715044294
15,0.8305786337171283
16,0.9943756972040448
17,0.8522370117051261
18,0.8301294956888471
19,0.8347277470997402
20,0.8844281009265355
21,0.9535596626145499
23,1.0543813024248396
27,0.8382315465382167
29,0.8855106234550476
33,1.1086082458496094
34,0.83867518390928
35,0.8800444943564278
36,0.8927137000220162
37,0.8051908782550267
38,0.8526267749922616
39,0.852264540536063
