Subject_ID,acc
1,0.4010416716337204
2,0.3020833358168602
3,0.2890625
4,0.2864583358168602
5,0.2265625
6,0.3645833358168602
7,0.3541666716337204
8,0.3567708358168602
9,0.18489583395421505
10,0.3671875
11,0.2369791679084301
12,0.4661458432674408
13,0.4713541716337204
14,0.3098958358168602
15,0.3072916716337204
16,0.3359375
17,0.2760416679084301
18,0.3776041716337204
19,0.34375
20,0.3515625
21,0.421875
22,0.3958333358168602
23,0.4010416716337204
24,0.3255208358168602
25,0.4166666716337204
26,0.4765625
27,0.4765625
28,0.4947916716337204
29,0.5026041716337204
30,0.546875
31,0.5703125
32,0.6927083432674408
