Subject_ID,acc
1,0.31469298271756424
2,0.41173245640177475
3,0.2790570180667073
6,0.23793859701407583
7,0.28508772034394114
9,0.3097587721912484
12,0.3722587721912484
13,0.2510964917509179
14,0.4588815789473684
15,0.08936403534914318
16,0.21491228122460215
17,0.2944078947368421
18,0.37993421052631576
19,0.3536184210526316
20,0.37445175647735596
21,0.22697368421052633
23,0.38760964964565475
27,0.21546052631578946
29,0.20614035113861687
33,0.4418859654351285
34,0.31853070227723373
35,0.39692982560709905
36,0.31085526315789475
37,0.24342105263157895
38,0.47258772034394114
39,0.7264254406878823
