Subject_ID,acc
1,0.6588541666666666
2,0.65625
3,0.7916666666666666
4,0.8255208333333334
5,0.6484375
6,0.7838541666666666
7,0.6276041666666666
8,0.5755208333333334
9,0.6822916666666666
10,0.6171875
11,0.5833333333333334
12,0.7552083333333334
13,0.75
14,0.7838541666666666
15,0.6484375
16,0.7109375
17,0.7213541666666666
18,0.6953125
19,0.7473958333333334
20,0.75
21,0.78125
22,0.734375
23,0.78125
24,0.6744791666666666
25,0.8333333333333334
26,0.7682291666666666
27,0.7734375
28,0.6927083333333334
29,0.6822916666666666
30,0.65625
31,0.78125
32,0.765625
