Subject_ID,acc
2,0.17613636702299118
3,0.6183035969734192
4,0.5048076957464218
5,0.6651785969734192
6,0.3636363744735718
7,0.5223214328289032
8,0.6215277910232544
9,0.4642857313156128
10,0.26278409361839294
11,0.75
12,0.40393519401550293
13,0.7434210479259491
14,0.453125
15,0.34375
16,0.6186342537403107
17,0.5562500059604645
18,0.4635416716337204
19,0.4097222238779068
20,0.19176136702299118
21,0.0625
22,0.43437498807907104
23,0.3343750014901161
24,0.5625
25,0.2718750014901161
26,0.7593750059604645
27,0.6333333849906921
28,0.6012228429317474
29,0.22500000149011612
30,0.457880437374115
31,0.7237499952316284
32,0.3541666666666667
33,0.09375
34,0.6568749845027924
35,0.2366071492433548
36,0.653492659330368
37,0.9230769872665405
38,0.5600000023841858
39,0.442255437374115
40,0.188988097012043
41,0.29567307978868484
